Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,20,Lusail,Red Bull Racing,PER,VER,9.0,4.0,-162.0,0,2.0,permanent,0
2021,21,Jeddah,Alfa Romeo Racing,GIO,RAI,-2.0,-2.0,-9.0,0,-6.0,street,1
2021,21,Jeddah,Alfa Romeo Racing,RAI,GIO,2.0,2.0,9.0,0,6.0,street,0
2021,21,Jeddah,AlphaTauri,GAS,TSU,-2.0,-2.0,70.0,0,-4.833333333333333,street,1
2021,21,Jeddah,AlphaTauri,TSU,GAS,2.0,2.0,-70.0,0,4.833333333333333,street,0
2021,21,Jeddah,Alpine,OCO,ALO,-4.0,-4.0,-9.0,0,0.0,street,1
2021,21,Jeddah,Alpine,ALO,OCO,4.0,4.0,9.0,0,0.0,street,0
2021,21,Jeddah,Ferrari,LEC,SAI,-11.0,-11.0,-7.0,0,-1.8499999999999996,street,1
2021,21,Jeddah,Ferrari,SAI,LEC,11.0,11.0,7.0,0,1.8499999999999996,street,0
2021,21,Jeddah,McLaren,RIC,NOR,4.0,4.0,-47.0,0,-4.199999999999999,street,1
2021,21,Jeddah,McLaren,NOR,RIC,-4.0,-4.0,47.0,0,4.199999999999999,street,0
2021,21,Jeddah,Mercedes,HAM,BOT,-1.0,-1.0,146.0,0,3.4000000000000004,street,1
2021,21,Jeddah,Mercedes,BOT,HAM,1.0,1.0,-146.0,0,-3.4000000000000004,street,0
2021,22,Yas Island,AlphaTauri,TSU,GAS,-4.0,-4.0,-78.0,0,-2.083333333333333,permanent,1
2021,22,Yas Island,AlphaTauri,GAS,TSU,4.0,4.0,78.0,0,2.083333333333333,permanent,0
2021,22,Yas Island,Alpine,ALO,OCO,2.0,2.0,-3.0,0,-1.333333333333334,permanent,1
2021,22,Yas Island,Alpine,OCO,ALO,-2.0,-2.0,3.0,0,1.333333333333334,permanent,0
2021,22,Yas Island,Aston Martin,VET,STR,2.0,2.0,24.0,0,0.16666666666666607,permanent,1
